edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud,informal_2024
49,2401,12.0,25.0,5,400000.0,2.0,1,1,1,0
41,1681,12.0,48.0,8,400000.0,1.0,0,1,0,0
27,729,8.0,48.0,8,240000.0,2.0,0,0,0,0
62,3844,15.0,30.0,2,1100000.0,7.0,0,0,1,0
40,1600,12.0,56.0,6,800000.0,3.0,1,1,1,0
42,1764,12.0,56.0,6,550000.0,9.0,0,1,1,0
30,900,13.0,41.0,1,300000.0,1.0,1,0,1,0
59,3481,15.0,90.0,1,980000.0,2.0,1,0,0,0
55,3025,19.0,44.0,3,400000.0,3.0,1,1,1,0
37,1369,14.0,52.0,2,900000.0,5.0,1,1,1,1
38,1444,17.0,52.0,2,700000.0,9.0,0,1,1,0
47,2209,15.0,42.0,1,1200000.0,9.0,1,0,1,0
39,1521,15.0,48.0,3,1300000.0,3.0,0,1,0,0
58,3364,12.0,36.0,2,700000.0,1.0,0,1,0,0
49,2401,15.0,40.0,3,700000.0,1.0,0,1,0,1
38,1444,14.0,40.0,3,1500000.0,1.0,1,1,0,0
62,3844,17.0,33.0,5,1200000.0,11.0,0,1,1,0
47,2209,17.0,40.0,4,1800000.0,12.0,0,1,1,0
45,2025,17.0,40.0,4,2000000.0,11.0,1,1,1,0
34,1156,17.0,50.0,1,1100000.0,6.0,1,0,1,0
55,3025,12.0,35.0,4,800000.0,11.0,0,0,1,0
51,2601,12.0,35.0,4,200000.0,1.0,0,0,0,0
55,3025,12.0,50.0,4,900000.0,12.0,0,1,1,0
51,2601,8.0,45.0,4,700000.0,8.0,1,1,1,0
28,784,12.0,45.0,4,400000.0,1.0,0,0,0,0
27,729,7.0,45.0,4,400000.0,3.0,0,1,0,0
64,4096,6.0,20.0,5,86000.0,11.0,0,1,0,1
25,625,11.0,20.0,5,200000.0,5.0,0,1,0,0
60,3600,12.0,38.0,2,1200000.0,12.0,0,1,1,0
42,1764,16.0,35.0,2,800000.0,12.0,1,0,1,0
26,676,17.0,40.0,1,700000.0,1.0,0,0,0,0
41,1681,12.0,88.0,3,1400000.0,9.0,0,1,1,0
35,1225,9.0,88.0,3,900000.0,2.0,1,1,1,0
52,2704,15.0,40.0,3,900000.0,6.0,0,1,1,0
36,1296,12.0,40.0,1,1700000.0,12.0,1,0,1,0
60,3600,12.0,30.0,3,500000.0,1.0,0,1,0,0
53,2809,15.0,0.0,1,1500000.0,12.0,0,0,1,0
41,1681,15.0,30.0,4,600000.0,8.0,1,1,1,0
47,2209,6.0,40.0,1,1500000.0,2.0,0,0,0,0
49,2401,6.0,48.0,3,1500000.0,5.0,0,0,0,0
53,2809,8.0,24.0,2,600000.0,1.0,0,1,0,0
32,1024,17.0,33.0,5,900000.0,10.0,0,0,1,0
27,729,12.0,33.0,5,600000.0,7.0,0,0,1,0
59,3481,15.0,28.0,2,800000.0,9.0,0,1,1,0
53,2809,15.0,28.0,2,1000000.0,9.0,1,1,1,0
55,3025,14.0,24.0,1,1300000.0,9.0,0,0,1,0
37,1369,9.0,70.0,3,500000.0,1.0,1,0,0,0
46,2116,12.0,40.0,2,300000.0,7.0,1,0,1,0
44,1936,14.0,84.0,2,1200000.0,1.0,1,0,1,0
46,2116,9.0,35.0,4,800000.0,12.0,1,0,1,0
38,1444,17.0,35.0,1,900000.0,9.0,0,0,1,0
57,3249,17.0,48.0,5,2000000.0,7.0,0,1,1,0
52,2704,17.0,48.0,5,1000000.0,1.0,1,1,1,0
57,3249,17.0,60.0,1,4000000.0,1.0,0,0,1,0
41,1681,12.0,60.0,3,1000000.0,5.0,1,0,1,0
57,3249,8.0,45.0,4,1100000.0,6.0,0,1,1,0
51,2601,6.0,48.0,8,850000.0,11.0,0,1,1,0
30,900,6.0,48.0,8,980000.0,6.0,0,0,0,1
51,2601,12.0,36.0,3,1800000.0,10.0,1,1,1,0
45,2025,12.0,36.0,3,900000.0,11.0,0,1,1,0
53,2809,12.0,32.0,5,900000.0,10.0,1,1,1,0
58,3364,12.0,32.0,5,1200000.0,2.0,0,1,1,0
31,961,12.0,3.0,3,800000.0,10.0,0,1,1,0
41,1681,15.0,36.0,1,780000.0,9.0,0,0,1,0
50,2500,12.0,48.0,4,2300000.0,1.0,0,1,1,0
39,1521,17.0,30.0,2,1500000.0,12.0,1,0,1,0
55,3025,15.0,50.0,3,1400000.0,11.0,1,1,1,0
57,3249,13.0,50.0,3,1200000.0,11.0,0,1,1,0
49,2401,12.0,16.0,2,800000.0,8.0,0,1,1,0
53,2809,12.0,25.0,5,500000.0,9.0,1,1,1,0
36,1296,12.0,60.0,5,620000.0,2.0,1,1,0,0
38,1444,12.0,60.0,5,500000.0,2.0,0,1,0,0
47,2209,12.0,0.0,3,600000.0,9.0,0,1,1,0
49,2401,12.0,0.0,3,800000.0,8.0,1,1,1,0
48,2304,15.0,20.0,2,160000.0,7.0,1,1,1,1
35,1225,14.0,42.0,4,1200000.0,6.0,0,1,1,0
33,1089,12.0,42.0,4,993000.0,6.0,1,1,1,0
31,961,15.0,40.0,1,1000000.0,12.0,0,0,1,0
37,1369,17.0,20.0,2,450000.0,9.0,1,1,1,0
35,1225,17.0,20.0,2,2000000.0,12.0,0,1,1,0
27,729,14.0,44.0,2,1000000.0,6.0,0,1,1,0
21,441,11.0,2.0,2,200000.0,1.0,1,1,0,0
27,729,12.0,2.0,2,300000.0,6.0,0,1,0,0
48,2304,6.0,19.0,4,350000.0,2.0,1,0,1,0
63,3969,9.0,16.0,2,800000.0,1.0,0,1,0,0
26,676,12.0,32.0,5,1000000.0,6.0,0,0,1,0
25,625,12.0,32.0,5,600000.0,1.0,0,1,0,0
26,676,12.0,32.0,5,400000.0,2.0,1,1,0,0
36,1296,12.0,48.0,4,1000000.0,2.0,1,1,1,0
41,1681,9.0,49.0,7,415000.0,6.0,0,0,0,0
48,2304,12.0,48.0,6,840000.0,10.0,0,1,1,0
53,2809,12.0,48.0,6,700000.0,1.0,1,1,1,0
26,676,17.0,44.0,2,1200000.0,6.0,1,1,1,1
41,1681,14.0,45.0,3,1000000.0,7.0,1,0,1,0
64,4096,12.0,20.0,1,450000.0,2.0,0,0,0,0
27,729,9.0,19.0,4,600000.0,1.0,0,1,0,0
38,1444,12.0,42.0,3,1000000.0,1.0,0,1,0,0
47,2209,12.0,35.0,2,1500000.0,7.0,1,0,1,0
34,1156,15.0,44.0,2,1800000.0,9.0,0,1,1,0
45,2025,15.0,44.0,2,1500000.0,10.0,1,1,1,0
48,2304,17.0,47.0,2,2000000.0,11.0,1,0,1,0
49,2401,17.0,30.0,3,2500000.0,7.0,0,1,1,0
48,2304,17.0,30.0,3,400000.0,7.0,1,1,1,1
34,1156,15.0,48.0,1,1200000.0,9.0,1,0,1,0
50,2500,17.0,40.0,4,1900000.0,4.0,0,1,1,0
33,1089,12.0,48.0,4,350000.0,1.0,0,0,0,0
34,1156,7.0,25.0,4,330000.0,7.0,1,0,0,1
60,3600,12.0,32.0,6,870000.0,9.0,0,1,1,0
30,900,17.0,32.0,6,280000.0,9.0,1,0,1,1
28,784,9.0,32.0,6,280000.0,9.0,0,0,1,1
27,729,9.0,32.0,6,280000.0,7.0,0,0,1,1
23,529,12.0,32.0,6,450000.0,1.0,1,0,1,0
59,3481,17.0,38.0,2,2600000.0,6.0,0,1,1,0
58,3364,15.0,44.0,3,1100000.0,11.0,1,0,1,0
70,4900,12.0,60.0,2,500000.0,1.0,0,1,1,0
65,4225,12.0,60.0,2,600000.0,5.0,1,1,1,0
36,1296,17.0,50.0,2,880000.0,9.0,1,0,1,0
33,1089,12.0,42.0,3,600000.0,12.0,1,1,1,0
52,2704,12.0,48.0,3,800000.0,1.0,0,1,0,0
52,2704,15.0,48.0,3,500000.0,7.0,1,1,1,0
45,2025,12.0,70.0,4,800000.0,1.0,0,1,1,0
22,484,8.0,24.0,6,600000.0,3.0,0,1,0,0
43,1849,6.0,36.0,7,300000.0,3.0,0,0,0,0
37,1369,12.0,36.0,7,300000.0,1.0,1,1,1,0
24,576,12.0,20.0,2,480000.0,5.0,0,0,0,1
70,4900,9.0,63.0,1,200000.0,1.0,0,0,1,0
40,1600,12.0,30.0,5,750000.0,12.0,0,1,1,0
39,1521,12.0,30.0,5,800000.0,10.0,0,1,1,0
38,1444,12.0,30.0,5,800000.0,12.0,1,1,1,0
48,2304,6.0,24.0,3,360000.0,1.0,0,0,0,0
60,3600,6.0,2.0,2,50000.0,2.0,0,0,1,0
52,2704,9.0,70.0,3,980000.0,2.0,1,1,0,0
53,2809,8.0,65.0,3,860000.0,6.0,0,1,1,0
31,961,10.0,53.0,5,600000.0,5.0,0,1,0,0
29,841,12.0,53.0,5,500000.0,1.0,1,1,0,0
49,2401,9.0,36.0,5,1000000.0,1.0,0,1,0,0
44,1936,12.0,36.0,5,800000.0,1.0,1,1,0,0
58,3364,12.0,40.0,1,1700000.0,12.0,1,0,1,0
48,2304,12.0,40.0,2,1600000.0,9.0,1,1,1,0
63,3969,14.0,40.0,2,1800000.0,11.0,0,1,1,0
39,1521,13.0,40.0,3,1000000.0,11.0,1,0,1,0
32,1024,15.0,50.0,2,690000.0,7.0,1,0,1,0
52,2704,15.0,30.0,3,800000.0,7.0,1,1,1,0
28,784,12.0,40.0,5,300000.0,2.0,0,0,0,0
41,1681,9.0,40.0,4,540000.0,2.0,0,1,0,0
40,1600,9.0,40.0,4,580000.0,8.0,1,1,0,1
33,1089,12.0,38.0,6,380000.0,6.0,0,1,0,0
49,2401,13.0,28.0,2,1120000.0,1.0,1,1,0,0
49,2401,6.0,4.0,5,50000.0,1.0,1,1,0,0
54,2916,6.0,4.0,5,500000.0,1.0,0,1,0,0
28,784,15.0,4.0,5,650000.0,12.0,1,0,1,0
54,2916,15.0,70.0,3,560000.0,1.0,1,1,0,0
53,2809,6.0,34.0,4,450000.0,1.0,0,1,1,0
70,4900,6.0,55.0,2,700000.0,1.0,0,1,1,0
76,5776,17.0,25.0,2,1800000.0,7.0,1,1,1,0
52,2704,12.0,30.0,3,300000.0,1.0,0,1,1,0
35,1225,17.0,40.0,2,900000.0,12.0,1,0,1,0
49,2401,17.0,30.0,2,2000000.0,11.0,1,1,1,0
49,2401,17.0,30.0,2,3000000.0,10.0,0,1,1,0
43,1849,12.0,40.0,2,1000000.0,6.0,0,1,1,0
52,2704,4.0,20.0,4,78000.0,5.0,1,0,0,0
65,4225,14.0,96.0,1,0.0,6.0,0,0,1,0
52,2704,12.0,84.0,5,1000000.0,12.0,0,1,1,0
45,2025,12.0,84.0,5,300000.0,1.0,1,1,1,0
54,2916,12.0,70.0,3,1200000.0,8.0,0,1,1,0
23,529,14.0,70.0,3,700000.0,8.0,0,0,1,0
49,2401,8.0,25.0,2,1100000.0,7.0,1,0,1,0
35,1225,6.0,40.0,5,700000.0,4.0,0,1,0,0
30,900,10.0,56.0,2,950000.0,3.0,0,1,0,0
46,2116,15.0,60.0,4,1500000.0,3.0,0,1,1,0
49,2401,19.0,38.0,1,950000.0,12.0,1,0,1,1
63,3969,17.0,35.0,2,2600000.0,12.0,0,1,1,0
27,729,17.0,45.0,4,2000000.0,1.0,0,0,1,0
25,625,12.0,8.0,3,300000.0,1.0,0,0,1,0
62,3844,15.0,48.0,1,400000.0,1.0,1,0,1,0
31,961,17.0,56.0,2,2000000.0,1.0,1,1,1,0
38,1444,17.0,56.0,2,1500000.0,8.0,0,1,1,0
33,1089,15.0,52.0,1,600000.0,1.0,0,0,1,0
49,2401,6.0,62.0,4,1000000.0,8.0,0,1,0,1
58,3364,12.0,48.0,2,1200000.0,6.0,1,0,1,0
26,676,12.0,66.0,2,1200000.0,6.0,1,0,1,0
46,2116,9.0,56.0,4,900000.0,7.0,0,1,1,1
51,2601,12.0,45.0,2,1000000.0,5.0,1,0,1,0
31,961,11.0,47.0,3,950000.0,3.0,1,0,1,0
38,1444,12.0,45.0,3,980000.0,12.0,1,1,1,0
33,1089,17.0,20.0,1,650000.0,5.0,0,0,0,0
28,784,12.0,56.0,3,1300000.0,7.0,0,1,1,0
56,3136,17.0,45.0,4,800000.0,8.0,1,1,1,0
35,1225,7.0,45.0,1,900000.0,6.0,0,0,1,0
54,2916,14.0,35.0,3,1000000.0,1.0,0,1,1,1
35,1225,12.0,84.0,5,1500000.0,2.0,1,1,0,0
39,1521,12.0,84.0,5,1300000.0,2.0,0,1,0,0
