edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud
28,784,12.0,2.0,5,631200.0,3.0,0,0,0
32,1024,6.0,36.0,7,394500.0,1.0,0,1,0
52,2704,12.0,66.0,1,789000.0,3.0,0,0,0
32,1024,17.0,40.0,3,1578000.0,10.0,1,1,1
37,1369,15.0,40.0,3,189360.0,7.0,0,1,0
37,1369,5.0,9.0,1,131500.0,1.0,0,0,0
53,2809,6.0,48.0,4,394500.0,2.0,0,1,1
54,2916,9.0,48.0,4,657500.0,7.0,1,1,1
31,961,17.0,25.0,4,591750.0,7.0,1,0,1
30,900,9.0,42.0,3,65750.0,2.0,0,1,0
30,900,12.0,42.0,3,65750.0,2.0,1,1,0
50,2500,12.0,45.0,4,1972500.0,11.0,0,1,1
51,2601,14.0,45.0,4,13150.0,1.0,1,1,1
40,1600,12.0,105.0,5,328750.0,3.0,1,1,0
44,1936,12.0,105.0,5,263000.0,1.0,0,1,0
18,324,11.0,105.0,5,65750.0,3.0,1,0,0
26,676,12.0,48.0,1,920500.0,2.0,1,0,1
64,4096,8.0,8.0,4,197250.0,1.0,0,1,0
30,900,12.0,8.0,4,105200.0,2.0,1,0,0
43,1849,17.0,28.0,2,526000.0,8.0,1,0,1
62,3844,6.0,8.0,4,210400.0,2.0,1,1,0
38,1444,7.0,48.0,4,920500.0,4.0,1,0,1
30,900,12.0,56.0,1,631200.0,5.0,0,0,0
53,2809,10.0,0.0,1,1709500.0,8.0,0,0,1
25,625,11.0,12.0,3,118350.0,3.0,1,0,0
20,400,8.0,12.0,3,157800.0,1.0,0,0,0
47,2209,3.0,45.0,4,1841000.0,10.0,0,1,1
44,1936,9.0,48.0,3,789000.0,7.0,1,1,0
35,1225,18.0,31.0,1,355050.0,6.0,1,0,1
20,400,15.0,30.0,5,1183500.0,9.0,1,0,1
25,625,15.0,40.0,1,920500.0,12.0,0,0,1
40,1600,12.0,20.0,4,102570.0,5.0,1,1,0
49,2401,15.0,30.0,5,0.0,7.0,1,0,1
34,1156,12.0,48.0,5,920500.0,1.0,1,1,0
38,1444,12.0,48.0,5,657500.0,3.0,0,1,1
39,1521,6.0,30.0,4,920500.0,11.0,1,1,1
66,4356,12.0,30.0,4,105200.0,1.0,0,1,1
31,961,14.0,40.0,1,1249250.0,10.0,1,0,1
41,1681,9.0,45.0,2,1709500.0,11.0,1,0,1
